Issue,Subject,Company,status,product_area,response,justification,request_type
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,replied,claude-api-and-console,"Inviting members to the Claude Console

The instructions in this article apply to your overall Console organization. If you are working within a specific Console Workspace, see this article: Creating and managing Workspaces in the Claude Console.

1. Log in as a Admin.
2. Navigate to Settings > Members.
3. Click the ""+ Invite"" button in the upper right corner of the page.
4. Enter up to 50 email addresses in the text box, separated by commas or new lines.
5. Select the role for the new users from the drop-down.
6. Click ""Send Invites.""
7. The newly-added users will receive an emailed invite and appear on the Members list with a ""Pending"" badge.

Related Articles
- Creating and managing Workspaces in the Claude Console
- Claude Console roles and permissions
- Sharing Prompts in the Claude...",Replied using 'Inviting members to the Claude Console' (claude-api-and-console). Answer extracted directly from the support documentation (similarity score: 0.56).,product_issue
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,replied,uncategorized,"HackerRank is a leading technology hiring platform that enables you to hire skilled developers by conducting online assessments. Many companies use the HackerRank platform to conduct their campus hiring programs to select the right talent among them to suit your company's business requirements. The platform allows candidates to attend the hiring company's assessments and display their coding and technical skills to potential employers.

<table>
<colgroup>
<col style=""width: 100%"" />
</colgroup>
<tbody>
<tr>
<td data-colspan=""1"" data-rowspan=""1"" style=""width: 100%""><p><em>Subject:</em> <strong>&lt;Company Name&gt; &lt; Test Name &gt;</strong> Assessment Invitation</p>
<p><em>Email Body:</em></p>
<p>Hi <strong>&lt;Candidate Name&gt;</strong>,</p>
<p>Thank you for your interest in...",Replied using 'Onboarding Candidates' (uncategorized). Answer extracted directly from the support documentation (similarity score: 0.50).,product_issue
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,replied,support,"Visa Credit Card Rules & Regulations

As part of our effort, we are pleased to provide access to the latest edition of the Visa Core Rules and Visa Product and Service Rules, which govern the participation of our financial institution clients in the Visa system.

To protect cardholders and merchants and maintain the integrity of the Visa system, we have omitted proprietary and competitive information, as well as certain details from the rules relating to the security of the network.

Any regional or country-specific rules within the Visa Core Rules and Visa Product and Service Rules apply to transactions, Merchants, Issuers and Acquirers in their Region/Country and any rules marked with the name of a region(s) or country(ies) are applicable to financial institutions operating in that...",Replied using 'Visa Credit Card Rules & Regulations' (support). Answer extracted directly from the support documentation (similarity score: 0.52).,product_issue
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,replied,hackerrank_community,"Purchase Mock Interview Credits

2.  Go to the Prepare tab and locate Mock Interviews for you section

3.  Click Buy Mock Interviews on any of the listed mock interview cards.

4.  Choose the number of mock interviews you want to buy. You can view the total cost for each option.",Replied using 'Purchase Mock Interview Credits' (hackerrank_community). Answer extracted directly from the support documentation (similarity score: 0.48).,bug
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,replied,settings,"Manage Billing Updating credit card information Updating billing address Downloading an invoice

You can update your payment method to prevent service disruptions caused by expired or outdated card details.

You can download invoices for accounting and recordkeeping purposes.",Replied using 'Manage Billing Updating credit card information Updating billing address Downloading an invoice' (settings). Answer extracted directly from the support documentation (similarity score: 0.30).,product_issue
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,replied,screen,"Quick Start Guide for Recruiters

HackerRank is a technology hiring platform designed to help companies efficiently hire skilled developers in a remote-first world. It enables objective evaluation of tech talent at every stage of the recruiting process. This article introduces the key features of HackerRank Screen to help you get started.

The HackerRank Library is a centralized repository containing pre-built questions of various complexities and types, covering multiple programming languages. This feature helps you create Tests aligned with your hiring requirements, enabling skill-based and experience-driven candidate assessments.

- The ability to create custom questions is stored in the My Company Questions section.",Replied using 'Quick Start Guide for Recruiters' (screen). Answer extracted directly from the support documentation (similarity score: 0.71).,product_issue
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,replied,screen,"How can I Try a Question or a Test?

HackerRank for Work allows Recruiters to perform a trial run of their Tests before inviting candidates. You can validate each Test Question during the trial by submitting the answer and viewing the results.

- To validate a test, click Try Test on the Questions page to perform a trial run and attempt all the questions. You will be able to log in, view, and solve Questions in a manner similar to how your candidates will attempt this Test.",Replied using 'How can I Try a Question or a Test?' (screen). Answer extracted directly from the support documentation (similarity score: 0.35).,bug
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,escalated,screen,This issue requires immediate attention from our support team. Please contact support directly so a specialist can assist you promptly.,"Escalated because the ticket indicates a critical issue (outage, fraud, or security concern) that requires human intervention. Most relevant document: 'How can I Try a Question or a Test?'.",product_issue
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,replied,screen,"Best Practices for Running Group Assessments in Proctor Mode Prepare candidate systems in advance Ensure a stable internet connection Use supported web browsers Manage browser extensions Optimize the test environment on each system Set up webcams Set up lighting Prepare the physical environment

This article provides best practices for running group assessments in Proctor Mode, where multiple candidates take the assessment simultaneously at a shared physical location. Following these guidelines helps ensure a smooth, stable, and fair assessment experience for all candidates.

- Operating system: Updated with the latest system and security updates",Replied using 'Best Practices for Running Group Assessments in Proctor Mode Prepare candidate systems in advance Ensure a stable internet connection Use supported web browsers Manage browser extensions Optimize the test environment on each system Set up webcams Set up lighting Prepare the physical environment' (screen). Answer extracted directly from the support documentation (similarity score: 0.36).,bug
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",nan,HackerRank,replied,screen,"Extend Test Duration for Candidates Add Time Accommodation Add extra time

The test timer runs continuously and does not pause for technical issues. If a candidate loses time because of internet connectivity or other issues, you can add extra time during the test, after the candidate submits, or after the test ends.

- Do not add time to a test that contains DevOps questions after it ends or after the candidate submits it. The system purges the virtual machine for DevOps questions upon submission, and added time does not restore access. To allow additional time, re-invite the candidate to take the test as a new attempt.

- For bulk updates, select candidates from the same test variant. If you select candidates from different variants, the Add time option is disabled. Filter the candidate...",Replied using 'Extend Test Duration for Candidates Add Time Accommodation Add extra time' (screen). Answer extracted directly from the support documentation (similarity score: 0.56).,feature_request
